,id,superficie,fecha,lat,lng,latlng_explicit,idcomunidad,idprovincia,idmunicipio,municipio,causa,causa_supuesta,causa_desc,muertos,heridos,time_ctrl,time_ext,personal,medios,gastos,perdidas,year,month,Provincias,class_per_time,class_per_trimester,geometry,index_right
43850,2007060211,5.5,2007-06-06,38.7759,-5.214842,1,14,6,23,CABEZA DEL BUEY,5,,0,,,0,200,9,1,,,2007,6,Badajoz,Menos_de_24h,2,POINT (-5.214842 38.7759),5
43851,2007060213,3.0,2007-07-19,38.994373,-5.730773,1,14,6,153,VILLANUEVA DE LA SERENA,5,,0,,,0,100,7,1,,,2007,7,Badajoz,Menos_de_24h,3,POINT (-5.730773 38.994373),5
43858,2007060232,3.5,2007-07-29,38.749507,-6.976322,1,14,6,15,BADAJOZ,5,,0,,,125,175,13,5,,,2007,7,Badajoz,Menos_de_24h,3,POINT (-6.976322 38.749507),5
43860,2007060234,1.0,2007-09-22,38.845691,-5.736228,1,14,6,75,MAGACELA,5,,0,,,135,150,4,1,,,2007,9,Badajoz,Menos_de_24h,3,POINT (-5.736228 38.845691),5
43867,2007060246,26.0,2007-09-21,38.989014,-5.591346,1,14,6,28,CAMPANARIO,5,,0,,,130,2750,12,2,,,2007,9,Badajoz,Entre_1dia_y_1semana,3,POINT (-5.591346 38.989014),5
47175,2008060016,1.0,2008-04-06,38.981331,-5.924924,1,14,6,44,DON BENITO,5,,0,,,68,78,9,1,,,2008,4,Badajoz,Menos_de_24h,2,POINT (-5.924924 38.981331),5
47176,2008060017,2.0,2008-04-12,39.011718,-5.768508,1,14,6,153,VILLANUEVA DE LA SERENA,5,,0,,,120,130,3,1,,,2008,4,Badajoz,Menos_de_24h,2,POINT (-5.768508 39.011718),5
47177,2008060018,5.0,2008-04-30,38.870414,-6.69839,1,14,6,128,TALAVERA LA REAL,5,,0,,,105,125,5,1,,,2008,4,Badajoz,Menos_de_24h,2,POINT (-6.69839 38.870414),5
47194,2008060050,10.0,2008-07-01,39.241117,-7.049501,1,14,6,6,ALBURQUERQUE,5,,0,,,105,1715,44,5,,,2008,7,Badajoz,Entre_1dia_y_1semana,3,POINT (-7.049501 39.241117),5
47196,2008060057,3.0,2008-07-06,38.989831,-6.331416,1,14,6,83,MÉRIDA,5,,0,,,50,125,8,0,,,2008,7,Badajoz,Menos_de_24h,3,POINT (-6.331416 38.989831),5
47211,2008060085,10.0,2008-07-23,38.845699,-7.070879,1,14,6,15,BADAJOZ,5,,0,,,105,135,12,2,,,2008,7,Badajoz,Menos_de_24h,3,POINT (-7.070879 38.845699),5
47212,2008060086,2.0,2008-07-26,38.097034,-6.098137,1,14,6,105,PUEBLA DEL MAESTRE,5,,0,,,140,395,27,5,,,2008,7,Badajoz,Menos_de_24h,3,POINT (-6.098137 38.097034),5
47222,2008060103,10.0,2008-08-07,38.844071,-7.074852,1,14,6,15,BADAJOZ,5,,0,,,180,960,5,1,,,2008,8,Badajoz,Menos_de_24h,3,POINT (-7.074852 38.844071),5
47224,2008060107,1.0,2008-08-06,39.325321,-6.793663,1,14,6,6,ALBURQUERQUE,5,,0,,,115,194,18,2,,,2008,8,Badajoz,Menos_de_24h,3,POINT (-6.793663 39.325321),5
47233,2008060129,6.0,2008-08-20,38.434537,-6.174275,1,14,6,136,USAGRE,5,,0,,,290,335,25,5,,,2008,8,Badajoz,Menos_de_24h,3,POINT (-6.174275 38.434537),5
47238,2008060135,30.0,2008-08-19,38.874413,-6.87958,1,14,6,15,BADAJOZ,5,,0,,,0,175,6,2,,,2008,8,Badajoz,Menos_de_24h,3,POINT (-6.87958 38.874413),5
47258,2008060172,1.9,2008-11-25,39.24565,-7.101889,1,14,6,6,ALBURQUERQUE,5,,0,,,120,1230,11,0,,,2008,11,Badajoz,Menos_de_24h,4,POINT (-7.101889 39.24565),5
47259,2008060173,2.0,2008-11-27,38.713125,-5.803539,1,14,6,146,VALLE DE LA SERENA,5,,0,,,90,110,11,0,,,2008,11,Badajoz,Menos_de_24h,4,POINT (-5.803539 38.713125),5
47280,2008060215,2.0,2008-07-23,38.509328,-6.799567,1,14,6,116,SALVALEÓN,5,,0,,,230,230,1,0,,,2008,7,Badajoz,Menos_de_24h,3,POINT (-6.799567 38.509328),5
47282,2008060218,23.0,2008-07-29,38.465479,-6.434603,1,14,6,158,ZAFRA,5,,0,,,2535,2535,10,3,,,2008,7,Badajoz,Entre_1dia_y_1semana,3,POINT (-6.434603 38.465479),5
47283,2008060219,4.0,2008-07-29,38.83005,-6.918819,1,14,6,15,BADAJOZ,5,,0,,,205,205,2,1,,,2008,7,Badajoz,Menos_de_24h,3,POINT (-6.918819 38.83005),5
47301,2008060268,4.0,2008-11-02,39.293954,-7.057786,1,14,6,6,ALBURQUERQUE,5,,0,,,195,195,3,0,,,2008,11,Badajoz,Menos_de_24h,4,POINT (-7.057786 39.293954),5
51579,2009060016,3.0,2009-03-30,38.927991,-6.818188,1,14,6,15,BADAJOZ,5,,0,,,0,330,12,2,,,2009,3,Badajoz,Menos_de_24h,1,POINT (-6.818188 38.927991),5
51618,2009060100,1.0,2009-08-02,38.430239,-5.572465,1,14,6,101,PERALEDA DEL ZAUCEJO,5,,0,,,45,130,28,4,,,2009,8,Badajoz,Menos_de_24h,3,POINT (-5.572465 38.430239),5
51644,2009060154,8.1,2009-06-09,38.342298,-6.542094,1,14,6,142,VALVERDE DE BURGUILLOS,5,,0,,,134,314,17,1,,,2009,6,Badajoz,Menos_de_24h,2,POINT (-6.542094 38.342298),5
51654,2009060181,1.0,2009-09-03,38.205654,-5.547819,1,14,6,14,AZUAGA,5,,0,,,90,155,31,4,,,2009,9,Badajoz,Menos_de_24h,3,POINT (-5.547819 38.205654),5
51664,2009060203,4.0,2009-10-28,38.720776,-6.119167,1,14,6,98,PALOMAS,5,,0,,,140,170,7,1,,,2009,10,Badajoz,Menos_de_24h,4,POINT (-6.119167 38.720776),5
51673,2009060220,5.0,2009-06-02,38.706759,-5.791723,1,14,6,146,VALLE DE LA SERENA,5,,0,,,0,100,6,0,,,2009,6,Badajoz,Menos_de_24h,2,POINT (-5.791723 38.706759),5
57307,2010060046,1.5,2010-08-04,38.632417,-6.265265,1,14,6,113,RIBERA DEL FRESNO,5,,0,,,55,100,8,2,,,2010,8,Badajoz,Menos_de_24h,3,POINT (-6.265265 38.632417),5
57318,2010060069,4.5,2010-08-13,38.990334,-6.479951,1,14,6,83,MÉRIDA,5,,0,,,171,191,3,0,,,2010,8,Badajoz,Menos_de_24h,3,POINT (-6.479951 38.990334),5
57319,2010060070,8.0,2010-08-19,38.898044,-6.232802,1,14,6,145,VALVERDE DE MÉRIDA,5,,0,,,245,620,21,0,,,2010,8,Badajoz,Menos_de_24h,3,POINT (-6.232802 38.898044),5
57322,2010060075,6.0,2010-08-05,38.497741,-6.557444,1,14,6,49,FERIA,5,,0,,,240,635,15,7,,,2010,8,Badajoz,Menos_de_24h,3,POINT (-6.557444 38.497741),5
57324,2010060080,1.5,2010-07-19,38.935591,-6.383377,1,14,6,83,MÉRIDA,5,,0,,,265,275,13,0,,,2010,7,Badajoz,Menos_de_24h,3,POINT (-6.383377 38.935591),5
57337,2010060115,5.0,2010-09-07,38.260787,-6.596351,1,14,6,50,FREGENAL DE LA SIERRA,5,,0,,,120,240,28,4,,,2010,9,Badajoz,Menos_de_24h,3,POINT (-6.596351 38.260787),5
57341,2010060125,2.0,2010-09-13,38.221214,-5.639974,1,14,6,14,AZUAGA,5,,0,,,20,20,9,1,,,2010,9,Badajoz,Menos_de_24h,3,POINT (-5.639974 38.221214),5
57355,2010060155,5.0,2010-10-28,38.499416,-6.46627,1,14,6,54,FUENTE DEL MAESTRE,5,,0,,,120,150,13,3,,,2010,10,Badajoz,Menos_de_24h,4,POINT (-6.46627 38.499416),5
57362,2010060164,2.0,2010-09-13,38.457241,-6.990762,1,14,6,66,HIGUERA DE VARGAS,5,,0,,,210,210,12,0,,,2010,9,Badajoz,Menos_de_24h,3,POINT (-6.990762 38.457241),5
61249,2011060034,1.5,2011-06-24,38.919133,-6.621262,1,14,6,88,MONTIJO,5,,0,,,80,90,12,1,,,2011,6,Badajoz,Menos_de_24h,2,POINT (-6.621262 38.919133),5
61274,2011060078,1.0,2011-07-13,38.600252,-6.653921,1,14,6,901,VALDELACALZADA,5,,0,,,105,165,5,2,,,2011,7,Badajoz,Menos_de_24h,3,POINT (-6.653921 38.600252),5
61284,2011060091,1.0,2011-07-18,39.046403,-5.704032,1,14,6,153,VILLANUEVA DE LA SERENA,5,,0,,,155,3675,3,1,,,2011,7,Badajoz,Entre_1dia_y_1semana,3,POINT (-5.704032 39.046403),5
61285,2011060093,14.6,2011-07-18,38.683946,-6.107841,1,14,6,104,PUEBLA DE LA REINA,5,,0,,,460,2215,33,6,,,2011,7,Badajoz,Entre_1dia_y_1semana,3,POINT (-6.107841 38.683946),5
61289,2011060098,3.3,2011-07-21,38.589854,-6.587479,1,14,6,99,"PARRA, LA",5,,0,,,92,137,17,3,,,2011,7,Badajoz,Menos_de_24h,3,POINT (-6.587479 38.589854),5
61309,2011060128,1.0,2011-08-03,38.945894,-5.212913,1,14,6,48,ESPARRAGOSA DE LARES,5,,0,,,65,175,13,2,,,2011,8,Badajoz,Menos_de_24h,3,POINT (-5.212913 38.945894),5
61313,2011060135,35.0,2011-08-06,38.984451,-6.862147,1,14,6,15,BADAJOZ,5,,0,,,164,165,24,3,,,2011,8,Badajoz,Menos_de_24h,3,POINT (-6.862147 38.984451),5
61314,2011060136,1.0,2011-08-07,38.926628,-6.951215,1,14,6,15,BADAJOZ,5,,0,,,160,340,6,2,,,2011,8,Badajoz,Menos_de_24h,3,POINT (-6.951215 38.926628),5
61320,2011060146,1.0,2011-08-12,38.493044,-6.49491,1,14,6,54,FUENTE DEL MAESTRE,5,,0,,,170,180,15,1,,,2011,8,Badajoz,Menos_de_24h,3,POINT (-6.49491 38.493044),5
61327,2011060153,1.0,2011-08-18,39.067484,-5.792679,1,14,6,111,RENA,5,,0,,,50,300,8,1,,,2011,8,Badajoz,Menos_de_24h,3,POINT (-5.792679 39.067484),5
61333,2011060164,10.0,2011-08-25,38.896503,-6.353558,1,14,6,83,MÉRIDA,5,,0,,,60,85,9,1,,,2011,8,Badajoz,Menos_de_24h,3,POINT (-6.353558 38.896503),5
61335,2011060166,1.0,2011-08-26,39.220425,-7.179933,1,14,6,37,"CODOSERA, LA",5,,0,,,55,1565,46,2,,,2011,8,Badajoz,Entre_1dia_y_1semana,3,POINT (-7.179933 39.220425),5
61337,2011060169,2.0,2011-08-28,39.04461,-6.326802,1,14,6,9,ALJUCÉN,5,,0,,,810,1005,11,2,,,2011,8,Badajoz,Menos_de_24h,3,POINT (-6.326802 39.04461),5
61338,2011060172,2.5,2011-08-29,38.282471,-6.092634,1,14,6,150,VILLAGARCÍA DE LA TORRE,5,,0,,,75,90,9,2,,,2011,8,Badajoz,Menos_de_24h,3,POINT (-6.092634 38.282471),5
61340,2011060174,1.0,2011-08-29,38.433972,-6.347119,1,14,6,122,"SANTOS DE MAIMONA, LOS",5,,0,,,0,45,5,0,,,2011,8,Badajoz,Menos_de_24h,3,POINT (-6.347119 38.433972),5
